,Region,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Cost,Total Cost,Total Profit,year
912,Asia,Office Supplies,Online,M,16-08-2014,253029572,03-09-2014,5928,524.96,3111962.88,748410,2014
913,Middle East and North Africa,Clothes,Offline,H,27-08-2011,547909915,17-09-2011,7574,35.84,271452.16,556234.56,2011
914,Asia,Vegetables,Online,M,19-06-2016,556665074,26-06-2016,8421,90.93,765721.53,531617.73,2016
915,Central America and the Caribbean,Household,Offline,L,19-03-2016,810593879,01-04-2016,1597,502.54,802556.38,264670.81,2016
916,Middle East and North Africa,Clothes,Offline,L,04-04-2014,561307656,12-05-2014,2264,35.84,81141.76,166268.16,2014
917,Australia and Oceania,Cosmetics,Offline,L,27-03-2011,930730235,15-04-2011,2614,263.33,688344.62,454496.18,2011
918,Central America and the Caribbean,Clothes,Online,L,04-06-2016,861097943,12-06-2016,6872,35.84,246292.48,504679.68,2016
919,Europe,Snacks,Online,C,01-09-2013,264959609,18-10-2013,6291,97.44,612995.04,346885.74,2013
920,Europe,Fruits,Online,L,31-07-2010,475176560,04-09-2010,4159,6.92,28780.28,10023.19,2010
921,Europe,Baby Food,Offline,H,23-01-2012,194922626,07-02-2012,791,159.42,126101.22,75825.26,2012
922,Europe,Snacks,Offline,M,03-07-2016,447684133,14-08-2016,8538,97.44,831942.72,470785.32,2016
923,Europe,Personal Care,Online,H,04-01-2012,527259910,11-01-2012,6779,56.67,384165.93,169881.74,2012
924,Asia,Beverages,Online,M,15-06-2010,247761285,03-07-2010,6925,31.79,220145.75,108445.5,2010
925,Central America and the Caribbean,Meat,Offline,C,03-06-2013,393612086,21-06-2013,7418,364.69,2705270.42,424309.6,2013
926,Sub-Saharan Africa,Clothes,Offline,M,30-12-2015,469548642,13-01-2016,8732,35.84,312954.88,641278.08,2015
927,Asia,Fruits,Online,M,13-07-2010,950619781,17-07-2010,8373,6.92,57941.16,20178.93,2010
928,Sub-Saharan Africa,Cosmetics,Offline,M,02-03-2013,132186830,16-04-2013,5875,263.33,1547063.75,1021486.25,2013
929,Europe,Baby Food,Online,M,10-08-2014,879923617,15-09-2014,7807,159.42,1244591.94,748379.02,2014
930,Europe,Snacks,Offline,H,09-03-2014,279816472,14-04-2014,2767,97.44,269616.48,152572.38,2014
931,Australia and Oceania,Beverages,Offline,C,04-02-2016,888164222,20-03-2016,6385,31.79,202979.15,99989.1,2016
932,Sub-Saharan Africa,Cosmetics,Online,H,11-06-2010,381578195,05-07-2010,6322,263.33,1664772.26,1099206.14,2010
933,Sub-Saharan Africa,Household,Online,M,27-11-2014,106982219,22-12-2014,7271,502.54,3653968.34,1205022.83,2014
934,Central America and the Caribbean,Fruits,Offline,H,14-05-2010,131612622,25-05-2010,5954,6.92,41201.68,14349.14,2010
935,Europe,Snacks,Online,M,05-11-2012,593018233,11-12-2012,6128,97.44,597112.32,337897.92,2012
936,Europe,Baby Food,Online,H,16-09-2016,349060380,28-09-2016,3578,159.42,570404.76,342987.08,2016
937,Central America and the Caribbean,Household,Online,M,11-08-2013,127912890,26-09-2013,1122,502.54,563849.88,185949.06,2013
938,Sub-Saharan Africa,Cosmetics,Offline,C,27-05-2011,278062093,28-05-2011,3607,263.33,949831.31,627149.09,2011
939,Central America and the Caribbean,Fruits,Offline,H,21-03-2015,318306815,26-04-2015,2915,6.92,20171.8,7025.15,2015
940,Middle East and North Africa,Cereal,Online,H,13-02-2016,287758386,02-03-2016,2956,117.11,346177.16,261872.04,2016
941,Asia,Fruits,Offline,L,03-01-2010,295840632,06-01-2010,4672,6.92,32330.24,11259.52,2010
942,Asia,Beverages,Online,H,30-07-2016,972289884,11-08-2016,1038,31.79,32998.02,16255.08,2016
943,Middle East and North Africa,Vegetables,Online,C,06-12-2014,317154967,09-12-2014,2058,90.93,187133.94,129921.54,2014
944,Central America and the Caribbean,Meat,Offline,H,12-07-2015,450797212,30-08-2015,9767,364.69,3561927.23,558672.4,2015
945,Europe,Household,Offline,C,18-12-2010,863890445,25-12-2010,3235,502.54,1625716.9,536136.55,2010
946,Europe,Personal Care,Online,C,16-01-2010,667420995,18-01-2010,3559,56.67,201688.53,89188.54,2010
947,Europe,Vegetables,Offline,H,10-04-2011,842687690,26-05-2011,8869,90.93,806458.17,559899.97,2011
948,Australia and Oceania,Personal Care,Offline,H,25-03-2014,191301858,06-04-2014,9326,56.67,528504.42,233709.56,2014
949,Middle East and North Africa,Cereal,Online,L,08-10-2015,285187327,22-10-2015,2123,117.11,248624.53,188076.57,2015
950,Central America and the Caribbean,Meat,Offline,M,20-10-2013,516580426,18-11-2013,6483,364.69,2364285.27,370827.6,2013
951,Sub-Saharan Africa,Meat,Offline,L,09-02-2011,348029983,02-03-2011,8661,364.69,3158580.09,495409.2,2011
952,Central America and the Caribbean,Office Supplies,Offline,L,07-07-2011,662397325,23-07-2011,6943,524.96,3644797.28,876553.75,2011
953,Sub-Saharan Africa,Snacks,Offline,L,19-02-2016,612856280,24-03-2016,6647,97.44,647683.68,366515.58,2016
954,Europe,Beverages,Offline,L,02-01-2012,772893178,02-01-2012,5122,31.79,162828.38,80210.52,2012
955,Sub-Saharan Africa,Baby Food,Online,H,21-09-2013,886306846,27-10-2013,6746,159.42,1075447.32,646671.56,2013
956,Asia,Vegetables,Online,C,29-03-2014,317208611,17-04-2014,7932,90.93,721256.76,500747.16,2014
957,Sub-Saharan Africa,Baby Food,Offline,L,11-05-2011,300022304,02-06-2011,2122,159.42,338289.24,203414.92,2011
958,Europe,Snacks,Online,M,05-07-2011,789484250,30-07-2011,4789,97.44,466640.16,264065.46,2011
959,Sub-Saharan Africa,Cereal,Offline,M,03-11-2010,910643279,22-12-2010,8438,117.11,988174.18,747522.42,2010
960,Central America and the Caribbean,Meat,Offline,L,17-02-2014,308860719,18-03-2014,7605,364.69,2773467.45,435006,2014
961,Middle East and North Africa,Snacks,Online,M,14-11-2015,499810397,21-12-2015,3858,97.44,375923.52,212730.12,2015
962,North America,Clothes,Online,C,10-08-2011,819478642,18-08-2011,796,35.84,28528.64,58458.24,2011
963,Australia and Oceania,Baby Food,Offline,L,22-11-2016,674164283,10-12-2016,9048,159.42,1442432.16,867341.28,2016
964,Sub-Saharan Africa,Cereal,Offline,L,22-06-2010,890478646,24-06-2010,1275,117.11,149315.25,112952.25,2010
965,Sub-Saharan Africa,Meat,Online,M,26-10-2013,565345561,02-12-2013,7170,364.69,2614827.3,410124,2013
966,North America,Household,Online,H,04-08-2011,216001355,15-08-2011,8456,502.54,4249478.24,1401412.88,2011
967,Australia and Oceania,Beverages,Online,M,10-01-2016,429994857,11-01-2016,3888,31.79,123599.52,60886.08,2016
968,Australia and Oceania,Office Supplies,Online,C,17-02-2010,515187394,06-04-2010,4253,524.96,2232654.88,536941.25,2010
969,Sub-Saharan Africa,Office Supplies,Online,L,24-01-2012,749752795,23-02-2012,7368,524.96,3867905.28,930210,2012
970,Sub-Saharan Africa,Beverages,Offline,M,29-09-2010,132177388,07-11-2010,3081,31.79,97944.99,48248.46,2010
971,Asia,Baby Food,Online,L,06-02-2015,431260001,11-02-2015,8273,159.42,1318881.66,793049.78,2015
972,Europe,Personal Care,Offline,M,24-05-2012,336111962,16-06-2012,1854,56.67,105066.18,46461.24,2012
973,Sub-Saharan Africa,Personal Care,Online,M,20-06-2017,406157100,13-07-2017,9766,56.67,553439.22,244735.96,2017
974,Europe,Household,Offline,H,09-12-2015,821131742,09-12-2015,9985,502.54,5017861.9,1654814.05,2015
975,Sub-Saharan Africa,Personal Care,Online,M,28-05-2013,931084716,07-07-2013,7513,56.67,425761.71,188275.78,2013
976,Sub-Saharan Africa,Baby Food,Offline,H,20-07-2016,606377351,25-08-2016,9388,159.42,1496634.96,899933.68,2016
977,Sub-Saharan Africa,Vegetables,Online,L,07-03-2014,687683475,01-04-2014,9677,90.93,879929.61,610909.01,2014
978,Middle East and North Africa,Cosmetics,Offline,C,23-04-2011,735989415,27-04-2011,4478,263.33,1179191.74,778589.86,2011
979,Central America and the Caribbean,Snacks,Offline,M,27-03-2010,382594001,07-04-2010,6922,97.44,674479.68,381679.08,2010
980,Europe,Household,Online,M,27-04-2014,679108560,11-06-2014,2169,502.54,1090009.26,359468.37,2014
981,Sub-Saharan Africa,Beverages,Online,M,18-08-2016,947456920,30-09-2016,2412,31.79,76677.48,37771.92,2016
982,Europe,Personal Care,Offline,L,19-04-2011,129875409,26-04-2011,1875,56.67,106256.25,46987.5,2011
983,Central America and the Caribbean,Baby Food,Offline,H,14-06-2012,838912856,11-07-2012,1811,159.42,288709.62,173602.46,2012
984,North America,Beverages,Offline,C,25-07-2012,807430589,30-07-2012,5509,31.79,175131.11,86270.94,2012
985,Sub-Saharan Africa,Office Supplies,Online,L,16-07-2016,538602435,19-08-2016,3284,524.96,1723968.64,414605,2016
986,Europe,Fruits,Offline,H,12-03-2015,155914723,29-03-2015,7486,6.92,51803.12,18041.26,2015
987,Europe,Fruits,Online,H,09-10-2011,753166282,25-11-2011,7495,6.92,51865.4,18062.95,2011
988,Sub-Saharan Africa,Baby Food,Online,C,30-07-2010,344468438,27-08-2010,4721,159.42,752621.82,452555.06,2010
989,Asia,Cosmetics,Offline,L,13-03-2013,614245021,20-03-2013,7606,263.33,2002887.98,1322455.22,2013
990,Central America and the Caribbean,Fruits,Online,L,18-09-2014,167232358,30-10-2014,6626,6.92,45851.92,15968.66,2014
991,Central America and the Caribbean,Snacks,Online,C,20-01-2015,378479278,15-02-2015,9284,97.44,904632.96,511919.76,2015
992,Europe,Cereal,Offline,M,20-03-2015,443347108,09-04-2015,5116,117.11,599134.76,453226.44,2015
993,Europe,Office Supplies,Online,C,19-06-2013,527509677,10-07-2013,691,524.96,362747.36,87238.75,2013
994,Europe,Beverages,Offline,H,20-09-2016,416953313,29-10-2016,4606,31.79,146424.74,72129.96,2016
995,Middle East and North Africa,Beverages,Online,M,08-01-2014,867976844,01-02-2014,2491,31.79,79188.89,39009.06,2014
996,Sub-Saharan Africa,Vegetables,Offline,M,16-08-2010,457191598,23-09-2010,2008,90.93,182587.44,126765.04,2010
997,Australia and Oceania,Fruits,Offline,H,19-08-2016,531521403,19-09-2016,7850,6.92,54322,18918.5,2016
998,Middle East and North Africa,Office Supplies,Online,L,06-12-2012,258202588,23-12-2012,6738,524.96,3537180.48,850672.5,2012
999,Sub-Saharan Africa,Snacks,Online,M,15-07-2015,674783980,02-09-2015,2430,97.44,236779.2,133990.2,2015
1000,Europe,Cereal,Online,C,30-03-2011,639126908,10-05-2011,710,117.11,83148.1,62898.9,2011
1001,Europe,Beverages,Online,L,03-06-2014,879405200,20-07-2014,4396,31.79,139748.84,68841.36,2014
1002,Europe,Beverages,Offline,H,17-03-2010,844105184,20-04-2010,8337,31.79,265033.23,130557.42,2010
1003,Australia and Oceania,Household,Offline,C,24-04-2011,952025687,01-05-2011,4412,502.54,2217206.48,731200.76,2011
1004,Central America and the Caribbean,Office Supplies,Online,C,11-05-2016,342278039,16-06-2016,6533,524.96,3429563.68,824791.25,2016
1005,Sub-Saharan Africa,Clothes,Online,H,09-09-2013,924286067,04-10-2013,5642,35.84,202209.28,414348.48,2013
1006,Central America and the Caribbean,Clothes,Offline,L,01-06-2015,627786099,18-07-2015,4712,35.84,168878.08,346049.28,2015
1007,Sub-Saharan Africa,Household,Online,M,15-10-2015,152826964,22-10-2015,3750,502.54,1884525,621487.5,2015
1008,Sub-Saharan Africa,Household,Online,M,13-02-2010,719769990,15-03-2010,4790,502.54,2407166.6,793846.7,2010
1009,Sub-Saharan Africa,Snacks,Online,H,23-09-2013,919289004,17-10-2013,6900,97.44,672336,380466,2013
1010,Australia and Oceania,Baby Food,Online,M,10-09-2012,762370336,23-09-2012,1179,159.42,187956.18,113018.94,2012
1011,Australia and Oceania,Cosmetics,Online,M,07-02-2013,330312812,14-02-2013,5756,263.33,1515727.48,1000795.72,2013
1012,Central America and the Caribbean,Cereal,Online,L,13-07-2014,224727761,15-08-2014,793,117.11,92868.23,70251.87,2014
1013,North America,Meat,Online,H,29-10-2013,217539012,31-10-2013,3483,364.69,1270215.27,199227.6,2013
1014,Australia and Oceania,Baby Food,Online,H,26-06-2016,600982892,07-08-2016,3048,159.42,485912.16,292181.28,2016
1015,Sub-Saharan Africa,Vegetables,Online,M,16-02-2010,837608230,03-03-2010,5744,90.93,522301.92,362618.72,2010
1016,Middle East and North Africa,Clothes,Offline,L,26-09-2013,910276353,27-09-2013,9856,35.84,353239.04,723824.64,2013
1017,Sub-Saharan Africa,Snacks,Offline,L,11-04-2013,872161090,28-04-2013,703,97.44,68500.32,38763.42,2013
1018,Asia,Beverages,Offline,H,06-12-2010,396748769,15-01-2011,5632,31.79,179041.28,88197.12,2010
1019,Europe,Fruits,Offline,C,20-09-2013,127838218,29-10-2013,9024,6.92,62446.08,21747.84,2013
1020,Asia,Beverages,Online,H,08-08-2014,329540765,21-09-2014,7290,31.79,231749.1,114161.4,2014
1021,Sub-Saharan Africa,Fruits,Offline,H,15-05-2011,436280238,10-06-2011,3872,6.92,26794.24,9331.52,2011
1022,Central America and the Caribbean,Baby Food,Offline,H,19-06-2010,402792966,04-07-2010,4244,159.42,676578.48,406829.84,2010
1023,Sub-Saharan Africa,Vegetables,Online,M,08-08-2015,254127776,12-09-2015,911,90.93,82837.23,57511.43,2015
1024,Sub-Saharan Africa,Beverages,Online,M,31-05-2016,535645997,18-06-2016,8409,31.79,267322.11,131684.94,2016
1025,Sub-Saharan Africa,Clothes,Offline,M,19-12-2014,963021457,25-01-2015,8304,35.84,297615.36,609845.76,2014
1026,Australia and Oceania,Office Supplies,Online,L,18-05-2014,872240483,13-06-2014,4197,524.96,2203257.12,529871.25,2014
1027,Sub-Saharan Africa,Household,Offline,C,21-01-2015,569601905,02-02-2015,6716,502.54,3375058.64,1113042.68,2015
1028,Europe,Snacks,Online,M,22-11-2010,881717050,23-12-2010,8524,97.44,830578.56,470013.36,2010
1029,Europe,Household,Offline,L,13-10-2015,905509746,20-10-2015,9311,502.54,4679149.94,1543112.03,2015
1030,Sub-Saharan Africa,Office Supplies,Online,H,23-05-2014,258216321,23-06-2014,802,524.96,421017.92,101252.5,2014
1031,Asia,Meat,Offline,H,18-05-2011,427385604,15-06-2011,1752,364.69,638936.88,100214.4,2011
1032,Europe,Baby Food,Online,H,22-06-2012,720878922,01-08-2012,2948,159.42,469970.16,282595.28,2012
1033,Asia,Fruits,Offline,L,09-02-2013,516870105,27-03-2013,2205,6.92,15258.6,5314.05,2013
1034,Asia,Fruits,Offline,H,12-05-2017,613845479,17-06-2017,9373,6.92,64861.16,22588.93,2017
1035,Asia,Cereal,Offline,H,06-06-2011,980603873,17-07-2011,1332,117.11,155990.52,118001.88,2011
1036,Europe,Personal Care,Offline,L,14-11-2012,306256616,18-11-2012,6993,56.67,396293.31,175244.58,2012
1037,Australia and Oceania,Household,Offline,L,24-10-2013,950227534,02-11-2013,2298,502.54,1154836.92,380847.54,2013
1038,Europe,Cereal,Offline,M,04-01-2015,392252957,22-02-2015,5222,117.11,611548.42,462616.98,2015
1039,Asia,Personal Care,Online,M,01-07-2014,682381713,08-07-2014,768,56.67,43522.56,19246.08,2014
1040,Sub-Saharan Africa,Clothes,Online,H,19-05-2011,790975129,20-06-2011,5973,35.84,214072.32,438657.12,2011
1041,Sub-Saharan Africa,Cosmetics,Offline,L,07-03-2017,658707034,13-03-2017,4904,263.33,1291370.32,852658.48,2017
1042,Europe,Cosmetics,Offline,C,14-03-2014,746563756,12-04-2014,3661,263.33,964051.13,636538.07,2014
1043,Central America and the Caribbean,Fruits,Offline,M,21-04-2012,685844123,28-05-2012,5372,6.92,37174.24,12946.52,2012
1044,Central America and the Caribbean,Clothes,Offline,M,10-11-2014,628159463,09-12-2014,5199,35.84,186332.16,381814.56,2014
1045,Central America and the Caribbean,Snacks,Online,L,05-12-2014,795433604,19-01-2015,5335,97.44,519842.4,294171.9,2014
1046,Europe,Household,Online,C,21-03-2014,129902875,24-04-2014,2,502.54,1005.08,331.46,2014
1047,Australia and Oceania,Office Supplies,Offline,M,17-09-2011,344116103,23-10-2011,457,524.96,239906.72,57696.25,2011
1048,Sub-Saharan Africa,Snacks,Online,M,10-01-2015,970934617,15-01-2015,9984,97.44,972840.96,550517.76,2015
1049,Asia,Cereal,Online,L,02-12-2013,713532245,03-01-2014,8902,117.11,1042513.22,788628.18,2013
1050,Europe,Beverages,Offline,M,10-05-2014,595395314,30-05-2014,9559,31.79,303880.61,149693.94,2014
1051,Central America and the Caribbean,Cereal,Offline,L,02-01-2012,810322654,15-01-2012,1335,117.11,156341.85,118267.65,2012
1052,Europe,Fruits,Online,L,04-03-2011,272425591,21-03-2011,5641,6.92,39035.72,13594.81,2011
1053,Central America and the Caribbean,Cereal,Offline,L,12-06-2013,666127955,08-07-2013,920,117.11,107741.2,81502.8,2013
1054,Europe,Baby Food,Offline,H,27-11-2013,596166074,13-01-2014,7644,159.42,1218606.48,732753.84,2013
1055,Asia,Personal Care,Offline,C,23-06-2012,537588775,19-07-2012,3320,56.67,188144.4,83199.2,2012
1056,Sub-Saharan Africa,Cereal,Offline,L,28-02-2010,585757386,23-03-2010,7482,117.11,876217.02,662830.38,2010
1057,Europe,Beverages,Offline,C,18-10-2012,906345736,21-11-2012,6699,31.79,212961.21,104906.34,2012
1058,Europe,Cosmetics,Offline,M,26-02-2012,385340154,18-03-2012,9569,263.33,2519804.77,1663762.03,2012
1059,Europe,Cosmetics,Offline,H,03-06-2012,679039466,05-07-2012,1723,263.33,453717.59,299578.01,2012
1060,Sub-Saharan Africa,Household,Offline,L,13-04-2011,364055001,13-05-2011,820,502.54,412082.8,135898.6,2011
1061,Asia,Baby Food,Online,H,06-04-2011,787310588,21-04-2011,1554,159.42,247738.68,148966.44,2011
1062,Sub-Saharan Africa,Clothes,Online,H,20-12-2015,216042554,20-12-2015,647,35.84,23188.48,47515.68,2015
1063,Europe,Baby Food,Offline,L,15-02-2011,587799727,27-03-2011,1856,159.42,295883.52,177916.16,2011
1064,Middle East and North Africa,Fruits,Online,L,27-10-2013,760443437,13-12-2013,966,6.92,6684.72,2328.06,2013
1065,Asia,Office Supplies,Offline,M,15-09-2015,562147510,11-10-2015,795,524.96,417343.2,100368.75,2015
1066,Europe,Snacks,Offline,L,22-01-2017,341398274,07-03-2017,6191,97.44,603251.04,341371.74,2017
1067,Europe,Fruits,Offline,H,14-06-2015,516994559,20-06-2015,9034,6.92,62515.28,21771.94,2015
1068,Australia and Oceania,Beverages,Offline,C,27-01-2017,228047692,27-02-2017,3235,31.79,102840.65,50660.1,2017
1069,Europe,Office Supplies,Online,H,09-04-2010,483981502,04-05-2010,9736,524.96,5111010.56,1229170,2010
1070,Middle East and North Africa,Clothes,Offline,M,22-09-2014,114532315,30-09-2014,1512,35.84,54190.08,111041.28,2014
1071,Central America and the Caribbean,Fruits,Offline,H,11-02-2017,719748961,23-03-2017,8567,6.92,59283.64,20646.47,2017
1072,Middle East and North Africa,Cereal,Online,H,03-10-2012,819992768,13-11-2012,2937,117.11,343952.07,260188.83,2012
1073,Asia,Cosmetics,Offline,C,18-12-2016,805937564,07-01-2017,3690,263.33,971687.7,641580.3,2016
1074,Sub-Saharan Africa,Personal Care,Online,C,27-10-2015,688569676,29-10-2015,1924,56.67,109033.08,48215.44,2015
1075,Europe,Cosmetics,Online,H,30-05-2015,549187934,17-07-2015,5769,263.33,1519150.77,1003056.03,2015
1076,Europe,Clothes,Online,M,22-04-2015,989403665,25-05-2015,5386,35.84,193034.24,395547.84,2015
1077,Australia and Oceania,Baby Food,Online,C,11-05-2012,881140697,29-05-2012,7968,159.42,1270258.56,763812.48,2012
1078,Europe,Household,Online,H,25-01-2012,516635358,26-02-2012,2738,502.54,1375954.52,453768.74,2012
1079,North America,Fruits,Online,M,12-03-2017,258436477,20-04-2017,5951,6.92,41180.92,14341.91,2017
1080,Australia and Oceania,Fruits,Offline,C,07-06-2016,989405381,22-06-2016,5894,6.92,40786.48,14204.54,2016
1081,Sub-Saharan Africa,Cosmetics,Offline,M,23-11-2010,962715899,21-12-2010,7883,263.33,2075830.39,1370617.21,2010
1082,Sub-Saharan Africa,Cosmetics,Offline,C,30-04-2010,751854360,07-05-2010,9268,263.33,2440542.44,1611427.16,2010
1083,Asia,Household,Online,H,11-03-2014,100619590,31-03-2014,4427,502.54,2224744.58,733686.71,2014
1084,Europe,Clothes,Offline,M,08-06-2015,173122918,25-07-2015,9773,35.84,350264.32,717729.12,2015
1085,Sub-Saharan Africa,Household,Offline,C,09-11-2011,403788173,16-11-2011,8748,502.54,4396219.92,1449806.04,2011
1086,Sub-Saharan Africa,Fruits,Online,M,19-06-2017,747351682,24-07-2017,6825,6.92,47229,16448.25,2017
1087,Sub-Saharan Africa,Household,Online,H,05-04-2013,328862273,24-05-2013,6510,502.54,3271535.4,1078902.3,2013
1088,Sub-Saharan Africa,Personal Care,Online,M,07-08-2011,593681275,11-09-2011,2337,56.67,132437.79,58565.22,2011
1089,Europe,Beverages,Online,C,14-07-2014,357482516,28-07-2014,5875,31.79,186766.25,92002.5,2014
1090,Europe,Fruits,Online,L,18-01-2010,756252324,09-02-2010,723,6.92,5003.16,1742.43,2010
1091,North America,Office Supplies,Online,M,10-09-2013,296289527,14-10-2013,7510,524.96,3942449.6,948137.5,2013
1092,Sub-Saharan Africa,Snacks,Online,M,14-10-2011,704205453,20-11-2011,8897,97.44,866923.68,490580.58,2011
1093,Asia,Cereal,Offline,M,25-08-2010,176923930,30-08-2010,4577,117.11,536012.47,405476.43,2010
1094,Sub-Saharan Africa,Vegetables,Online,M,02-02-2010,131681287,02-03-2010,6274,90.93,570494.82,396077.62,2010
1095,Middle East and North Africa,Fruits,Online,C,11-10-2014,256026351,13-11-2014,2742,6.92,18974.64,6608.22,2014
1096,Sub-Saharan Africa,Snacks,Offline,L,16-04-2015,757820451,26-04-2015,4767,97.44,464496.48,262852.38,2015
1097,Middle East and North Africa,Vegetables,Offline,H,19-08-2014,115237414,27-09-2014,167,90.93,15185.31,10542.71,2014
1098,Europe,Clothes,Offline,H,16-11-2016,926763570,25-11-2016,8790,35.84,315033.6,645537.6,2016
1099,Australia and Oceania,Fruits,Online,H,21-10-2015,461197745,24-10-2015,7517,6.92,52017.64,18115.97,2015
1100,Europe,Household,Online,M,28-10-2013,107651269,11-11-2013,5258,502.54,2642355.32,871408.34,2013
1101,Europe,Beverages,Online,H,19-08-2010,425547969,11-09-2010,7955,31.79,252889.45,124575.3,2010
1102,Central America and the Caribbean,Household,Offline,C,22-07-2014,694624173,16-08-2014,3584,502.54,1801103.36,593976.32,2014
1103,Europe,Clothes,Offline,L,24-01-2016,264928710,27-01-2016,7147,35.84,256148.48,524875.68,2016
1104,North America,Household,Online,M,03-04-2014,806822907,08-04-2014,5683,502.54,2855934.82,941843.59,2014
1105,Central America and the Caribbean,Cereal,Offline,C,29-01-2013,460980594,13-02-2013,3257,117.11,381427.27,288537.63,2013
1106,Sub-Saharan Africa,Vegetables,Online,H,24-07-2017,588388097,25-08-2017,5968,90.93,542670.24,376759.84,2017
1107,Sub-Saharan Africa,Beverages,Offline,L,05-11-2014,820344245,16-12-2014,6947,31.79,220845.13,108790.02,2014
1108,Australia and Oceania,Baby Food,Online,L,14-11-2015,408460366,27-12-2015,1354,159.42,215854.68,129794.44,2015
1109,North America,Baby Food,Offline,H,12-09-2013,474660289,06-10-2013,1382,159.42,220318.44,132478.52,2013
1110,Europe,Beverages,Offline,L,13-01-2010,861180341,20-02-2010,1255,31.79,39896.45,19653.3,2010
1111,Europe,Beverages,Offline,M,10-06-2011,580569350,03-07-2011,2227,31.79,70796.33,34874.82,2011
1112,Australia and Oceania,Beverages,Offline,M,21-05-2010,965688645,23-06-2010,7585,31.79,241127.15,118781.1,2010
1113,Central America and the Caribbean,Beverages,Offline,C,10-10-2011,719712054,17-10-2011,7645,31.79,243034.55,119720.7,2011
1114,Central America and the Caribbean,Household,Online,L,28-12-2013,866125905,29-12-2013,4757,502.54,2390582.78,788377.61,2013
1115,Sub-Saharan Africa,Cereal,Offline,M,17-09-2012,698729026,25-09-2012,8301,117.11,972130.11,735385.59,2012
1116,Asia,Household,Online,L,29-03-2012,931632745,02-05-2012,9687,502.54,4868104.98,1605426.51,2012
1117,Asia,Cereal,Offline,H,03-03-2014,549260890,25-03-2014,7358,117.11,861695.38,651845.22,2014
1118,Middle East and North Africa,Beverages,Online,C,27-07-2013,856349790,26-08-2013,1788,31.79,56840.52,28000.08,2013
1119,Central America and the Caribbean,Personal Care,Offline,H,17-05-2010,527948272,21-05-2010,481,56.67,27258.27,12053.86,2010
1120,Europe,Vegetables,Offline,M,25-02-2013,559417665,28-02-2013,2973,90.93,270334.89,187685.49,2013
1121,Central America and the Caribbean,Household,Online,C,08-08-2012,216431796,03-09-2012,5833,502.54,2931315.82,966703.09,2012
1122,Europe,Household,Online,C,21-08-2015,184976994,21-09-2015,7658,502.54,3848451.32,1269160.34,2015
1123,Sub-Saharan Africa,Personal Care,Offline,M,18-04-2011,321352088,06-05-2011,4079,56.67,231156.93,102219.74,2011
1124,Sub-Saharan Africa,Fruits,Offline,M,29-05-2012,102168405,29-05-2012,2756,6.92,19071.52,6641.96,2012
1125,Europe,Beverages,Online,M,08-12-2013,874349772,04-01-2014,8383,31.79,266495.57,131277.78,2013
1126,Central America and the Caribbean,Vegetables,Online,H,27-11-2011,905132520,09-12-2011,7681,90.93,698433.33,484901.53,2011
1127,Middle East and North Africa,Vegetables,Offline,H,05-10-2014,332065474,13-10-2014,4408,90.93,400819.44,278277.04,2014
1128,Europe,Household,Online,H,15-11-2016,713009965,16-12-2016,4348,502.54,2185043.92,720594.04,2016
1129,Sub-Saharan Africa,Baby Food,Offline,M,18-06-2017,976139819,22-07-2017,319,159.42,50854.98,30579.34,2017
1130,Europe,Baby Food,Online,M,24-10-2016,569941365,26-11-2016,7170,159.42,1143041.4,687316.2,2016
1131,Sub-Saharan Africa,Cereal,Online,C,27-06-2012,813213431,31-07-2012,6781,117.11,794122.91,600728.79,2012
1132,Europe,Household,Online,H,09-09-2010,845067346,13-09-2010,3062,502.54,1538777.48,507465.26,2010
1133,Europe,Fruits,Offline,M,24-11-2014,774926936,27-11-2014,6956,6.92,48135.52,16763.96,2014
1134,Sub-Saharan Africa,Beverages,Online,L,04-07-2014,332528531,22-08-2014,1437,31.79,45682.23,22503.42,2014
1135,Europe,Baby Food,Online,H,06-05-2011,217920958,25-06-2011,6509,159.42,1037664.78,623952.74,2011
1136,Central America and the Caribbean,Personal Care,Offline,H,14-11-2015,751465547,12-12-2015,4209,56.67,238524.03,105477.54,2015
1137,Europe,Clothes,Online,C,06-02-2013,523836123,22-03-2013,3605,35.84,129203.2,264751.2,2013
1138,Europe,Vegetables,Online,C,06-11-2011,446019017,25-11-2011,5794,90.93,526848.42,365775.22,2011
1139,Asia,Office Supplies,Offline,H,13-08-2010,599313056,29-08-2010,8906,524.96,4675293.76,1124382.5,2010
1140,Middle East and North Africa,Personal Care,Online,M,20-07-2016,685329568,29-07-2016,3104,56.67,175903.68,77786.24,2016
1141,Europe,Clothes,Online,H,14-05-2011,475992381,26-05-2011,5578,35.84,199915.52,409648.32,2011
1142,Sub-Saharan Africa,Meat,Offline,M,12-09-2015,263537824,13-09-2015,5553,364.69,2025123.57,317631.6,2015
1143,Europe,Office Supplies,Offline,C,01-03-2017,410514724,10-04-2017,9284,524.96,4873728.64,1172105,2017
1144,Sub-Saharan Africa,Beverages,Offline,M,12-01-2012,899784409,18-01-2012,5057,31.79,160762.03,79192.62,2012
1145,Sub-Saharan Africa,Personal Care,Online,H,22-07-2016,884520709,09-08-2016,8189,56.67,464070.63,205216.34,2016
