,Region,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Cost,Total Revenue,Total Cost,Total Profit,year
858,Europe,Personal Care,Offline,C,19-09-2010,570703542,03-11-2010,2715,56.67,221896.95,153859.05,68037.9,2010
859,Europe,Cosmetics,Online,M,20-09-2012,132603538,06-11-2012,9188,263.33,4016993.6,2419476.04,1597517.56,2012
860,Central America and the Caribbean,Cereal,Offline,M,20-10-2010,882304131,25-11-2010,2254,117.11,463647.8,263965.94,199681.86,2010
861,Middle East and North Africa,Baby Food,Online,M,13-02-2014,904229152,19-02-2014,355,159.42,90624.4,56594.1,34030.3,2014
862,Middle East and North Africa,Office Supplies,Offline,L,06-03-2010,603114926,22-03-2010,3964,524.96,2581396.44,2080941.44,500455,2010
863,Sub-Saharan Africa,Snacks,Online,H,20-01-2014,454010283,30-01-2014,587,97.44,89564.46,57197.28,32367.18,2014
864,Europe,Meat,Offline,L,06-08-2011,552276551,24-09-2011,9759,364.69,4117224.51,3559009.71,558214.8,2011
865,Europe,Snacks,Offline,M,22-03-2016,163587558,19-04-2016,8048,97.44,1227963.84,784197.12,443766.72,2016
866,Central America and the Caribbean,Beverages,Offline,M,16-02-2012,873929631,25-02-2012,4053,31.79,192314.85,128844.87,63469.98,2012
867,Sub-Saharan Africa,Cereal,Online,L,26-01-2011,739601600,10-03-2011,3404,117.11,700202.8,398642.44,301560.36,2011
868,Sub-Saharan Africa,Cosmetics,Online,M,25-09-2010,137214791,02-11-2010,3761,263.33,1644309.2,990384.13,653925.07,2010
869,Sub-Saharan Africa,Fruits,Offline,C,26-08-2013,413693034,13-10-2013,9817,6.92,91592.61,67933.64,23658.97,2013
870,Asia,Fruits,Offline,H,07-11-2015,736272656,12-12-2015,8296,6.92,77401.68,57408.32,19993.36,2015
871,Sub-Saharan Africa,Baby Food,Offline,L,18-08-2010,342502486,18-08-2010,2952,159.42,753586.56,470607.84,282978.72,2010
872,Central America and the Caribbean,Cosmetics,Offline,L,29-01-2015,790243852,10-02-2015,9572,263.33,4184878.4,2520594.76,1664283.64,2015
873,Asia,Personal Care,Online,M,09-04-2013,107670581,01-05-2013,972,56.67,79441.56,55083.24,24358.32,2013
874,Australia and Oceania,Household,Online,H,24-01-2013,443269002,13-03-2013,2003,502.54,1338544.81,1006587.62,331957.19,2013
875,Europe,Baby Food,Offline,M,10-01-2012,415837943,23-02-2012,4543,159.42,1159737.04,724245.06,435491.98,2012
876,Australia and Oceania,Beverages,Offline,L,08-05-2016,964488732,06-06-2016,2504,31.79,118814.8,79602.16,39212.64,2016
877,Europe,Baby Food,Offline,H,17-05-2014,398645198,26-05-2014,6828,159.42,1743051.84,1088519.76,654532.08,2014
878,Sub-Saharan Africa,Fruits,Online,C,23-08-2010,248043668,29-08-2010,488,6.92,4553.04,3376.96,1176.08,2010
879,North America,Cosmetics,Online,C,20-07-2014,312732970,17-08-2014,3490,263.33,1525828,919021.7,606806.3,2014
880,Europe,Personal Care,Offline,H,02-11-2013,913074433,17-12-2013,7870,56.67,643215.1,445992.9,197222.2,2013
881,Middle East and North Africa,Household,Offline,C,31-03-2016,639741885,18-04-2016,2695,502.54,1800987.65,1354345.3,446642.35,2016
882,Sub-Saharan Africa,Office Supplies,Online,C,09-06-2015,403721654,29-06-2015,9064,524.96,5902567.44,4758237.44,1144330,2015
883,Asia,Clothes,Offline,H,27-06-2017,286312568,09-07-2017,5106,35.84,557983.68,182999.04,374984.64,2017
884,Europe,Fruits,Offline,H,27-05-2014,889125955,15-06-2014,983,6.92,9171.39,6802.36,2369.03,2014
885,Australia and Oceania,Beverages,Offline,M,10-08-2010,184085643,14-08-2010,3887,31.79,184438.15,123567.73,60870.42,2010
886,Europe,Fruits,Offline,H,06-08-2011,263427960,20-09-2011,3042,6.92,28381.86,21050.64,7331.22,2011
887,Asia,Beverages,Offline,H,23-07-2012,589701735,26-07-2012,4703,31.79,223157.35,149508.37,73648.98,2012
888,Asia,Vegetables,Offline,C,03-05-2017,245768296,12-05-2017,7155,90.93,1102299.3,650604.15,451695.15,2017
889,Australia and Oceania,Beverages,Offline,L,22-11-2011,184801471,20-12-2011,5717,31.79,271271.65,181743.43,89528.22,2011
890,Australia and Oceania,Baby Food,Online,M,21-07-2013,980287587,30-08-2013,7736,159.42,1974846.08,1233273.12,741572.96,2013
891,Middle East and North Africa,Baby Food,Online,C,14-03-2014,576025474,25-03-2014,7593,159.42,1938341.04,1210476.06,727864.98,2014
892,Asia,Snacks,Online,H,10-05-2014,136126458,02-06-2014,1699,97.44,259233.42,165550.56,93682.86,2014
893,Sub-Saharan Africa,Beverages,Online,L,26-10-2011,895014369,11-12-2011,3496,31.79,165885.2,111137.84,54747.36,2011
894,Asia,Beverages,Online,C,10-01-2013,107425534,21-01-2013,8458,31.79,401332.1,268879.82,132452.28,2013
895,Sub-Saharan Africa,Cosmetics,Offline,M,15-02-2014,498408782,28-03-2014,9089,263.33,3973710.8,2393406.37,1580304.43,2014
896,Sub-Saharan Africa,Cosmetics,Online,M,27-04-2012,813325440,15-05-2012,9927,263.33,4340084.4,2614076.91,1726007.49,2012
897,Sub-Saharan Africa,Baby Food,Offline,M,01-04-2017,767849338,17-04-2017,2537,159.42,647645.36,404448.54,243196.82,2017
898,Middle East and North Africa,Fruits,Offline,L,18-11-2016,597966802,07-12-2016,520,6.92,4851.6,3598.4,1253.2,2016
899,Middle East and North Africa,Personal Care,Online,C,18-08-2011,609976661,20-08-2011,4504,56.67,368111.92,255241.68,112870.24,2011
900,Europe,Meat,Online,H,12-07-2010,730490243,14-07-2010,7151,364.69,3016935.39,2607898.19,409037.2,2010
901,Middle East and North Africa,Personal Care,Online,H,29-04-2012,956431376,14-06-2012,8153,56.67,666344.69,462030.51,204314.18,2012
902,Europe,Cereal,Online,L,01-11-2016,905036389,20-11-2016,9234,117.11,1899433.8,1081393.74,818040.06,2016
903,Australia and Oceania,Meat,Offline,H,28-07-2013,263854110,30-07-2013,9149,364.69,3859871.61,3336548.81,523322.8,2013
904,Central America and the Caribbean,Baby Food,Online,C,02-11-2015,140745866,06-12-2015,8684,159.42,2216851.52,1384403.28,832448.24,2015
905,Sub-Saharan Africa,Clothes,Online,C,28-06-2011,813885486,10-08-2011,5656,35.84,618087.68,202711.04,415376.64,2011
906,Europe,Clothes,Online,C,04-03-2012,381759297,25-03-2012,9914,35.84,1083401.92,355317.76,728084.16,2012
907,Europe,Cosmetics,Offline,M,02-09-2011,613166129,21-10-2011,8338,263.33,3645373.6,2195645.54,1449728.06,2011
908,Sub-Saharan Africa,Snacks,Offline,H,22-05-2012,197217309,11-06-2012,9839,97.44,1501234.62,958712.16,542522.46,2012
909,Central America and the Caribbean,Clothes,Offline,M,09-01-2014,593336665,24-01-2014,359,35.84,39231.52,12866.56,26364.96,2014
910,Europe,Office Supplies,Offline,M,03-05-2017,181260526,03-06-2017,7872,524.96,5126325.12,4132485.12,993840,2017
911,Sub-Saharan Africa,Snacks,Online,L,14-10-2012,111037719,03-12-2012,7383,97.44,1126498.14,719399.52,407098.62,2012
912,Asia,Office Supplies,Online,M,16-08-2014,253029572,03-09-2014,5928,524.96,3860372.88,3111962.88,748410,2014
913,Middle East and North Africa,Clothes,Offline,H,27-08-2011,547909915,17-09-2011,7574,35.84,827686.72,271452.16,556234.56,2011
914,Asia,Vegetables,Online,M,19-06-2016,556665074,26-06-2016,8421,90.93,1297339.26,765721.53,531617.73,2016
915,Central America and the Caribbean,Household,Offline,L,19-03-2016,810593879,01-04-2016,1597,502.54,1067227.19,802556.38,264670.81,2016
916,Middle East and North Africa,Clothes,Offline,L,04-04-2014,561307656,12-05-2014,2264,35.84,247409.92,81141.76,166268.16,2014
917,Australia and Oceania,Cosmetics,Offline,L,27-03-2011,930730235,15-04-2011,2614,263.33,1142840.8,688344.62,454496.18,2011
918,Central America and the Caribbean,Clothes,Online,L,04-06-2016,861097943,12-06-2016,6872,35.84,750972.16,246292.48,504679.68,2016
919,Europe,Snacks,Online,C,01-09-2013,264959609,18-10-2013,6291,97.44,959880.78,612995.04,346885.74,2013
920,Europe,Fruits,Online,L,31-07-2010,475176560,04-09-2010,4159,6.92,38803.47,28780.28,10023.19,2010
921,Europe,Baby Food,Offline,H,23-01-2012,194922626,07-02-2012,791,159.42,201926.48,126101.22,75825.26,2012
922,Europe,Snacks,Offline,M,03-07-2016,447684133,14-08-2016,8538,97.44,1302728.04,831942.72,470785.32,2016
923,Europe,Personal Care,Online,H,04-01-2012,527259910,11-01-2012,6779,56.67,554047.67,384165.93,169881.74,2012
924,Asia,Beverages,Online,M,15-06-2010,247761285,03-07-2010,6925,31.79,328591.25,220145.75,108445.5,2010
925,Central America and the Caribbean,Meat,Offline,C,03-06-2013,393612086,21-06-2013,7418,364.69,3129580.02,2705270.42,424309.6,2013
926,Sub-Saharan Africa,Clothes,Offline,M,30-12-2015,469548642,13-01-2016,8732,35.84,954232.96,312954.88,641278.08,2015
927,Asia,Fruits,Online,M,13-07-2010,950619781,17-07-2010,8373,6.92,78120.09,57941.16,20178.93,2010
928,Sub-Saharan Africa,Cosmetics,Offline,M,02-03-2013,132186830,16-04-2013,5875,263.33,2568550,1547063.75,1021486.25,2013
929,Europe,Baby Food,Online,M,10-08-2014,879923617,15-09-2014,7807,159.42,1992970.96,1244591.94,748379.02,2014
930,Europe,Snacks,Offline,H,09-03-2014,279816472,14-04-2014,2767,97.44,422188.86,269616.48,152572.38,2014
931,Australia and Oceania,Beverages,Offline,C,04-02-2016,888164222,20-03-2016,6385,31.79,302968.25,202979.15,99989.1,2016
932,Sub-Saharan Africa,Cosmetics,Online,H,11-06-2010,381578195,05-07-2010,6322,263.33,2763978.4,1664772.26,1099206.14,2010
933,Sub-Saharan Africa,Household,Online,M,27-11-2014,106982219,22-12-2014,7271,502.54,4858991.17,3653968.34,1205022.83,2014
934,Central America and the Caribbean,Fruits,Offline,H,14-05-2010,131612622,25-05-2010,5954,6.92,55550.82,41201.68,14349.14,2010
935,Europe,Snacks,Online,M,05-11-2012,593018233,11-12-2012,6128,97.44,935010.24,597112.32,337897.92,2012
936,Europe,Baby Food,Online,H,16-09-2016,349060380,28-09-2016,3578,159.42,913391.84,570404.76,342987.08,2016
937,Central America and the Caribbean,Household,Online,M,11-08-2013,127912890,26-09-2013,1122,502.54,749798.94,563849.88,185949.06,2013
938,Sub-Saharan Africa,Cosmetics,Offline,C,27-05-2011,278062093,28-05-2011,3607,263.33,1576980.4,949831.31,627149.09,2011
939,Central America and the Caribbean,Fruits,Offline,H,21-03-2015,318306815,26-04-2015,2915,6.92,27196.95,20171.8,7025.15,2015
940,Middle East and North Africa,Cereal,Online,H,13-02-2016,287758386,02-03-2016,2956,117.11,608049.2,346177.16,261872.04,2016
941,Asia,Fruits,Offline,L,03-01-2010,295840632,06-01-2010,4672,6.92,43589.76,32330.24,11259.52,2010
942,Asia,Beverages,Online,H,30-07-2016,972289884,11-08-2016,1038,31.79,49253.1,32998.02,16255.08,2016
943,Middle East and North Africa,Vegetables,Online,C,06-12-2014,317154967,09-12-2014,2058,90.93,317055.48,187133.94,129921.54,2014
944,Central America and the Caribbean,Meat,Offline,H,12-07-2015,450797212,30-08-2015,9767,364.69,4120599.63,3561927.23,558672.4,2015
945,Europe,Household,Offline,C,18-12-2010,863890445,25-12-2010,3235,502.54,2161853.45,1625716.9,536136.55,2010
946,Europe,Personal Care,Online,C,16-01-2010,667420995,18-01-2010,3559,56.67,290877.07,201688.53,89188.54,2010
947,Europe,Vegetables,Offline,H,10-04-2011,842687690,26-05-2011,8869,90.93,1366358.14,806458.17,559899.97,2011
948,Australia and Oceania,Personal Care,Offline,H,25-03-2014,191301858,06-04-2014,9326,56.67,762213.98,528504.42,233709.56,2014
949,Middle East and North Africa,Cereal,Online,L,08-10-2015,285187327,22-10-2015,2123,117.11,436701.1,248624.53,188076.57,2015
950,Central America and the Caribbean,Meat,Offline,M,20-10-2013,516580426,18-11-2013,6483,364.69,2735112.87,2364285.27,370827.6,2013
951,Sub-Saharan Africa,Meat,Offline,L,09-02-2011,348029983,02-03-2011,8661,364.69,3653989.29,3158580.09,495409.2,2011
952,Central America and the Caribbean,Office Supplies,Offline,L,07-07-2011,662397325,23-07-2011,6943,524.96,4521351.03,3644797.28,876553.75,2011
953,Sub-Saharan Africa,Snacks,Offline,L,19-02-2016,612856280,24-03-2016,6647,97.44,1014199.26,647683.68,366515.58,2016
954,Europe,Beverages,Offline,L,02-01-2012,772893178,02-01-2012,5122,31.79,243038.9,162828.38,80210.52,2012
955,Sub-Saharan Africa,Baby Food,Online,H,21-09-2013,886306846,27-10-2013,6746,159.42,1722118.88,1075447.32,646671.56,2013
956,Asia,Vegetables,Online,C,29-03-2014,317208611,17-04-2014,7932,90.93,1222003.92,721256.76,500747.16,2014
957,Sub-Saharan Africa,Baby Food,Offline,L,11-05-2011,300022304,02-06-2011,2122,159.42,541704.16,338289.24,203414.92,2011
958,Europe,Snacks,Online,M,05-07-2011,789484250,30-07-2011,4789,97.44,730705.62,466640.16,264065.46,2011
959,Sub-Saharan Africa,Cereal,Offline,M,03-11-2010,910643279,22-12-2010,8438,117.11,1735696.6,988174.18,747522.42,2010
960,Central America and the Caribbean,Meat,Offline,L,17-02-2014,308860719,18-03-2014,7605,364.69,3208473.45,2773467.45,435006,2014
961,Middle East and North Africa,Snacks,Online,M,14-11-2015,499810397,21-12-2015,3858,97.44,588653.64,375923.52,212730.12,2015
962,North America,Clothes,Online,C,10-08-2011,819478642,18-08-2011,796,35.84,86986.88,28528.64,58458.24,2011
963,Australia and Oceania,Baby Food,Offline,L,22-11-2016,674164283,10-12-2016,9048,159.42,2309773.44,1442432.16,867341.28,2016
964,Sub-Saharan Africa,Cereal,Offline,L,22-06-2010,890478646,24-06-2010,1275,117.11,262267.5,149315.25,112952.25,2010
965,Sub-Saharan Africa,Meat,Online,M,26-10-2013,565345561,02-12-2013,7170,364.69,3024951.3,2614827.3,410124,2013
966,North America,Household,Online,H,04-08-2011,216001355,15-08-2011,8456,502.54,5650891.12,4249478.24,1401412.88,2011
967,Australia and Oceania,Beverages,Online,M,10-01-2016,429994857,11-01-2016,3888,31.79,184485.6,123599.52,60886.08,2016
968,Australia and Oceania,Office Supplies,Online,C,17-02-2010,515187394,06-04-2010,4253,524.96,2769596.13,2232654.88,536941.25,2010
969,Sub-Saharan Africa,Office Supplies,Online,L,24-01-2012,749752795,23-02-2012,7368,524.96,4798115.28,3867905.28,930210,2012
970,Sub-Saharan Africa,Beverages,Offline,M,29-09-2010,132177388,07-11-2010,3081,31.79,146193.45,97944.99,48248.46,2010
971,Asia,Baby Food,Online,L,06-02-2015,431260001,11-02-2015,8273,159.42,2111931.44,1318881.66,793049.78,2015
972,Europe,Personal Care,Offline,M,24-05-2012,336111962,16-06-2012,1854,56.67,151527.42,105066.18,46461.24,2012
973,Sub-Saharan Africa,Personal Care,Online,M,20-06-2017,406157100,13-07-2017,9766,56.67,798175.18,553439.22,244735.96,2017
974,Europe,Household,Offline,H,09-12-2015,821131742,09-12-2015,9985,502.54,6672675.95,5017861.9,1654814.05,2015
975,Sub-Saharan Africa,Personal Care,Online,M,28-05-2013,931084716,07-07-2013,7513,56.67,614037.49,425761.71,188275.78,2013
976,Sub-Saharan Africa,Baby Food,Offline,H,20-07-2016,606377351,25-08-2016,9388,159.42,2396568.64,1496634.96,899933.68,2016
977,Sub-Saharan Africa,Vegetables,Online,L,07-03-2014,687683475,01-04-2014,9677,90.93,1490838.62,879929.61,610909.01,2014
978,Middle East and North Africa,Cosmetics,Offline,C,23-04-2011,735989415,27-04-2011,4478,263.33,1957781.6,1179191.74,778589.86,2011
979,Central America and the Caribbean,Snacks,Offline,M,27-03-2010,382594001,07-04-2010,6922,97.44,1056158.76,674479.68,381679.08,2010
980,Europe,Household,Online,M,27-04-2014,679108560,11-06-2014,2169,502.54,1449477.63,1090009.26,359468.37,2014
981,Sub-Saharan Africa,Beverages,Online,M,18-08-2016,947456920,30-09-2016,2412,31.79,114449.4,76677.48,37771.92,2016
982,Europe,Personal Care,Offline,L,19-04-2011,129875409,26-04-2011,1875,56.67,153243.75,106256.25,46987.5,2011
983,Central America and the Caribbean,Baby Food,Offline,H,14-06-2012,838912856,11-07-2012,1811,159.42,462312.08,288709.62,173602.46,2012
984,North America,Beverages,Offline,C,25-07-2012,807430589,30-07-2012,5509,31.79,261402.05,175131.11,86270.94,2012
985,Sub-Saharan Africa,Office Supplies,Online,L,16-07-2016,538602435,19-08-2016,3284,524.96,2138573.64,1723968.64,414605,2016
986,Europe,Fruits,Offline,H,12-03-2015,155914723,29-03-2015,7486,6.92,69844.38,51803.12,18041.26,2015
987,Europe,Fruits,Online,H,09-10-2011,753166282,25-11-2011,7495,6.92,69928.35,51865.4,18062.95,2011
988,Sub-Saharan Africa,Baby Food,Online,C,30-07-2010,344468438,27-08-2010,4721,159.42,1205176.88,752621.82,452555.06,2010
989,Asia,Cosmetics,Offline,L,13-03-2013,614245021,20-03-2013,7606,263.33,3325343.2,2002887.98,1322455.22,2013
990,Central America and the Caribbean,Fruits,Online,L,18-09-2014,167232358,30-10-2014,6626,6.92,61820.58,45851.92,15968.66,2014
991,Central America and the Caribbean,Snacks,Online,C,20-01-2015,378479278,15-02-2015,9284,97.44,1416552.72,904632.96,511919.76,2015
992,Europe,Cereal,Offline,M,20-03-2015,443347108,09-04-2015,5116,117.11,1052361.2,599134.76,453226.44,2015
993,Europe,Office Supplies,Online,C,19-06-2013,527509677,10-07-2013,691,524.96,449986.11,362747.36,87238.75,2013
994,Europe,Beverages,Offline,H,20-09-2016,416953313,29-10-2016,4606,31.79,218554.7,146424.74,72129.96,2016
995,Middle East and North Africa,Beverages,Online,M,08-01-2014,867976844,01-02-2014,2491,31.79,118197.95,79188.89,39009.06,2014
996,Sub-Saharan Africa,Vegetables,Offline,M,16-08-2010,457191598,23-09-2010,2008,90.93,309352.48,182587.44,126765.04,2010
997,Australia and Oceania,Fruits,Offline,H,19-08-2016,531521403,19-09-2016,7850,6.92,73240.5,54322,18918.5,2016
998,Middle East and North Africa,Office Supplies,Online,L,06-12-2012,258202588,23-12-2012,6738,524.96,4387852.98,3537180.48,850672.5,2012
999,Sub-Saharan Africa,Snacks,Online,M,15-07-2015,674783980,02-09-2015,2430,97.44,370769.4,236779.2,133990.2,2015
1000,Europe,Cereal,Online,C,30-03-2011,639126908,10-05-2011,710,117.11,146047,83148.1,62898.9,2011
1001,Europe,Beverages,Online,L,03-06-2014,879405200,20-07-2014,4396,31.79,208590.2,139748.84,68841.36,2014
1002,Europe,Beverages,Offline,H,17-03-2010,844105184,20-04-2010,8337,31.79,395590.65,265033.23,130557.42,2010
1003,Australia and Oceania,Household,Offline,C,24-04-2011,952025687,01-05-2011,4412,502.54,2948407.24,2217206.48,731200.76,2011
1004,Central America and the Caribbean,Office Supplies,Online,C,11-05-2016,342278039,16-06-2016,6533,524.96,4254354.93,3429563.68,824791.25,2016
1005,Sub-Saharan Africa,Clothes,Online,H,09-09-2013,924286067,04-10-2013,5642,35.84,616557.76,202209.28,414348.48,2013
1006,Central America and the Caribbean,Clothes,Offline,L,01-06-2015,627786099,18-07-2015,4712,35.84,514927.36,168878.08,346049.28,2015
1007,Sub-Saharan Africa,Household,Online,M,15-10-2015,152826964,22-10-2015,3750,502.54,2506012.5,1884525,621487.5,2015
1008,Sub-Saharan Africa,Household,Online,M,13-02-2010,719769990,15-03-2010,4790,502.54,3201013.3,2407166.6,793846.7,2010
1009,Sub-Saharan Africa,Snacks,Online,H,23-09-2013,919289004,17-10-2013,6900,97.44,1052802,672336,380466,2013
1010,Australia and Oceania,Baby Food,Online,M,10-09-2012,762370336,23-09-2012,1179,159.42,300975.12,187956.18,113018.94,2012
1011,Australia and Oceania,Cosmetics,Online,M,07-02-2013,330312812,14-02-2013,5756,263.33,2516523.2,1515727.48,1000795.72,2013
1012,Central America and the Caribbean,Cereal,Online,L,13-07-2014,224727761,15-08-2014,793,117.11,163120.1,92868.23,70251.87,2014
1013,North America,Meat,Online,H,29-10-2013,217539012,31-10-2013,3483,364.69,1469442.87,1270215.27,199227.6,2013
1014,Australia and Oceania,Baby Food,Online,H,26-06-2016,600982892,07-08-2016,3048,159.42,778093.44,485912.16,292181.28,2016
1015,Sub-Saharan Africa,Vegetables,Online,M,16-02-2010,837608230,03-03-2010,5744,90.93,884920.64,522301.92,362618.72,2010
1016,Middle East and North Africa,Clothes,Offline,L,26-09-2013,910276353,27-09-2013,9856,35.84,1077063.68,353239.04,723824.64,2013
1017,Sub-Saharan Africa,Snacks,Offline,L,11-04-2013,872161090,28-04-2013,703,97.44,107263.74,68500.32,38763.42,2013
1018,Asia,Beverages,Offline,H,06-12-2010,396748769,15-01-2011,5632,31.79,267238.4,179041.28,88197.12,2010
1019,Europe,Fruits,Offline,C,20-09-2013,127838218,29-10-2013,9024,6.92,84193.92,62446.08,21747.84,2013
1020,Asia,Beverages,Online,H,08-08-2014,329540765,21-09-2014,7290,31.79,345910.5,231749.1,114161.4,2014
1021,Sub-Saharan Africa,Fruits,Offline,H,15-05-2011,436280238,10-06-2011,3872,6.92,36125.76,26794.24,9331.52,2011
1022,Central America and the Caribbean,Baby Food,Offline,H,19-06-2010,402792966,04-07-2010,4244,159.42,1083408.32,676578.48,406829.84,2010
1023,Sub-Saharan Africa,Vegetables,Online,M,08-08-2015,254127776,12-09-2015,911,90.93,140348.66,82837.23,57511.43,2015
1024,Sub-Saharan Africa,Beverages,Online,M,31-05-2016,535645997,18-06-2016,8409,31.79,399007.05,267322.11,131684.94,2016
1025,Sub-Saharan Africa,Clothes,Offline,M,19-12-2014,963021457,25-01-2015,8304,35.84,907461.12,297615.36,609845.76,2014
1026,Australia and Oceania,Office Supplies,Online,L,18-05-2014,872240483,13-06-2014,4197,524.96,2733128.37,2203257.12,529871.25,2014
1027,Sub-Saharan Africa,Household,Offline,C,21-01-2015,569601905,02-02-2015,6716,502.54,4488101.32,3375058.64,1113042.68,2015
1028,Europe,Snacks,Online,M,22-11-2010,881717050,23-12-2010,8524,97.44,1300591.92,830578.56,470013.36,2010
1029,Europe,Household,Offline,L,13-10-2015,905509746,20-10-2015,9311,502.54,6222261.97,4679149.94,1543112.03,2015
1030,Sub-Saharan Africa,Office Supplies,Online,H,23-05-2014,258216321,23-06-2014,802,524.96,522270.42,421017.92,101252.5,2014
1031,Asia,Meat,Offline,H,18-05-2011,427385604,15-06-2011,1752,364.69,739151.28,638936.88,100214.4,2011
1032,Europe,Baby Food,Online,H,22-06-2012,720878922,01-08-2012,2948,159.42,752565.44,469970.16,282595.28,2012
1033,Asia,Fruits,Offline,L,09-02-2013,516870105,27-03-2013,2205,6.92,20572.65,15258.6,5314.05,2013
1034,Asia,Fruits,Offline,H,12-05-2017,613845479,17-06-2017,9373,6.92,87450.09,64861.16,22588.93,2017
1035,Asia,Cereal,Offline,H,06-06-2011,980603873,17-07-2011,1332,117.11,273992.4,155990.52,118001.88,2011
1036,Europe,Personal Care,Offline,L,14-11-2012,306256616,18-11-2012,6993,56.67,571537.89,396293.31,175244.58,2012
1037,Australia and Oceania,Household,Offline,L,24-10-2013,950227534,02-11-2013,2298,502.54,1535684.46,1154836.92,380847.54,2013
1038,Europe,Cereal,Offline,M,04-01-2015,392252957,22-02-2015,5222,117.11,1074165.4,611548.42,462616.98,2015
1039,Asia,Personal Care,Online,M,01-07-2014,682381713,08-07-2014,768,56.67,62768.64,43522.56,19246.08,2014
1040,Sub-Saharan Africa,Clothes,Online,H,19-05-2011,790975129,20-06-2011,5973,35.84,652729.44,214072.32,438657.12,2011
1041,Sub-Saharan Africa,Cosmetics,Offline,L,07-03-2017,658707034,13-03-2017,4904,263.33,2144028.8,1291370.32,852658.48,2017
1042,Europe,Cosmetics,Offline,C,14-03-2014,746563756,12-04-2014,3661,263.33,1600589.2,964051.13,636538.07,2014
1043,Central America and the Caribbean,Fruits,Offline,M,21-04-2012,685844123,28-05-2012,5372,6.92,50120.76,37174.24,12946.52,2012
1044,Central America and the Caribbean,Clothes,Offline,M,10-11-2014,628159463,09-12-2014,5199,35.84,568146.72,186332.16,381814.56,2014
1045,Central America and the Caribbean,Snacks,Online,L,05-12-2014,795433604,19-01-2015,5335,97.44,814014.3,519842.4,294171.9,2014
1046,Europe,Household,Online,C,21-03-2014,129902875,24-04-2014,2,502.54,1336.54,1005.08,331.46,2014
1047,Australia and Oceania,Office Supplies,Offline,M,17-09-2011,344116103,23-10-2011,457,524.96,297602.97,239906.72,57696.25,2011
1048,Sub-Saharan Africa,Snacks,Online,M,10-01-2015,970934617,15-01-2015,9984,97.44,1523358.72,972840.96,550517.76,2015
1049,Asia,Cereal,Online,L,02-12-2013,713532245,03-01-2014,8902,117.11,1831141.4,1042513.22,788628.18,2013
1050,Europe,Beverages,Offline,M,10-05-2014,595395314,30-05-2014,9559,31.79,453574.55,303880.61,149693.94,2014
1051,Central America and the Caribbean,Cereal,Offline,L,02-01-2012,810322654,15-01-2012,1335,117.11,274609.5,156341.85,118267.65,2012
1052,Europe,Fruits,Online,L,04-03-2011,272425591,21-03-2011,5641,6.92,52630.53,39035.72,13594.81,2011
1053,Central America and the Caribbean,Cereal,Offline,L,12-06-2013,666127955,08-07-2013,920,117.11,189244,107741.2,81502.8,2013
1054,Europe,Baby Food,Offline,H,27-11-2013,596166074,13-01-2014,7644,159.42,1951360.32,1218606.48,732753.84,2013
1055,Asia,Personal Care,Offline,C,23-06-2012,537588775,19-07-2012,3320,56.67,271343.6,188144.4,83199.2,2012
1056,Sub-Saharan Africa,Cereal,Offline,L,28-02-2010,585757386,23-03-2010,7482,117.11,1539047.4,876217.02,662830.38,2010
1057,Europe,Beverages,Offline,C,18-10-2012,906345736,21-11-2012,6699,31.79,317867.55,212961.21,104906.34,2012
1058,Europe,Cosmetics,Offline,M,26-02-2012,385340154,18-03-2012,9569,263.33,4183566.8,2519804.77,1663762.03,2012
1059,Europe,Cosmetics,Offline,H,03-06-2012,679039466,05-07-2012,1723,263.33,753295.6,453717.59,299578.01,2012
1060,Sub-Saharan Africa,Household,Offline,L,13-04-2011,364055001,13-05-2011,820,502.54,547981.4,412082.8,135898.6,2011
1061,Asia,Baby Food,Online,H,06-04-2011,787310588,21-04-2011,1554,159.42,396705.12,247738.68,148966.44,2011
1062,Sub-Saharan Africa,Clothes,Online,H,20-12-2015,216042554,20-12-2015,647,35.84,70704.16,23188.48,47515.68,2015
1063,Europe,Baby Food,Offline,L,15-02-2011,587799727,27-03-2011,1856,159.42,473799.68,295883.52,177916.16,2011
1064,Middle East and North Africa,Fruits,Online,L,27-10-2013,760443437,13-12-2013,966,6.92,9012.78,6684.72,2328.06,2013
1065,Asia,Office Supplies,Offline,M,15-09-2015,562147510,11-10-2015,795,524.96,517711.95,417343.2,100368.75,2015
1066,Europe,Snacks,Offline,L,22-01-2017,341398274,07-03-2017,6191,97.44,944622.78,603251.04,341371.74,2017
1067,Europe,Fruits,Offline,H,14-06-2015,516994559,20-06-2015,9034,6.92,84287.22,62515.28,21771.94,2015
1068,Australia and Oceania,Beverages,Offline,C,27-01-2017,228047692,27-02-2017,3235,31.79,153500.75,102840.65,50660.1,2017
1069,Europe,Office Supplies,Online,H,09-04-2010,483981502,04-05-2010,9736,524.96,6340180.56,5111010.56,1229170,2010
1070,Middle East and North Africa,Clothes,Offline,M,22-09-2014,114532315,30-09-2014,1512,35.84,165231.36,54190.08,111041.28,2014
1071,Central America and the Caribbean,Fruits,Offline,H,11-02-2017,719748961,23-03-2017,8567,6.92,79930.11,59283.64,20646.47,2017
1072,Middle East and North Africa,Cereal,Online,H,03-10-2012,819992768,13-11-2012,2937,117.11,604140.9,343952.07,260188.83,2012
